x,y,z
-1.139530410766601562e+02,0.000000000000000000e+00,4.117931365966796875e+01
-1.342338562011718750e+02,0.000000000000000000e+00,3.632689952850341797e+00
-1.241144638061523438e+02,4.420291137695312500e+01,3.943550586700439453e+00
-1.219714431762695312e+02,4.506967163085937500e+01,5.028264236450195312e+01
-1.113972549438476562e+02,0.000000000000000000e+00,8.847261047363281250e+01
-1.042551116943359375e+02,4.492860794067382812e+01,9.282259368896484375e+01
-8.625085449218750000e+01,9.220145416259765625e+01,2.133558082580566406e+01
-6.348863220214843750e+01,6.871295928955078125e+01,5.279098129272460938e+01
-6.043522644042968750e+01,0.000000000000000000e+00,1.126297531127929688e+02
-3.924143981933593750e+01,5.315906906127929688e+01,8.907226562500000000e+01
-3.670297241210937500e+01,6.355327987670898438e+01,8.024676513671875000e+01
-4.022495269775390625e+01,4.785542297363281250e+01,1.338232574462890625e+02
-3.760761260986328125e+01,2.954179382324218750e+01,1.391829833984375000e+02
-2.119209098815917969e+01,8.722626495361328125e+01,2.649758720397949219e+01
-2.635890960693359375e+01,0.000000000000000000e+00,1.455609588623046875e+02
-2.385807800292968750e+01,1.113798522949218750e+02,3.380107879638671875e+01
-1.660618591308593750e+01,0.000000000000000000e+00,1.355126800537109375e+02
-1.378245639801025391e+01,1.012227706909179688e+02,7.911927795410156250e+01
-1.221385955810546875e+01,-6.284076309204101562e+01,1.200830001831054688e+02
1.068365859985351562e+01,4.918432998657226562e+01,1.381522827148437500e+02
1.854406356811523438e+01,1.111077575683593750e+02,4.426026535034179688e+01
2.328709983825683594e+01,8.230257415771484375e+01,1.056409454345703125e+02
2.277816200256347656e+01,8.447338104248046875e+01,4.065188217163085938e+01
2.516274261474609375e+01,0.000000000000000000e+00,1.218947219848632812e+02
3.438396835327148438e+01,0.000000000000000000e+00,1.422542724609375000e+02
4.716865158081054688e+01,6.939009094238281250e+01,6.548727416992187500e+01
6.034784317016601562e+01,4.077442169189453125e+01,1.232162704467773438e+02
8.404742431640625000e+01,0.000000000000000000e+00,1.088348007202148438e+02
7.958747100830078125e+01,6.069960784912109375e+01,4.060390472412109375e+01
1.071857681274414062e+02,0.000000000000000000e+00,7.866171264648437500e+01
1.279413299560546875e+02,0.000000000000000000e+00,5.585079574584960938e+01
-1.334187316894531250e+02,-2.434787107631564140e-03,4.205955505371093750e+01
